date,bodyweight,lift,weight,reps,set_type,notes,sleep
2025-03-02,77.7,bench,47.5,6,t1,,7.5
2025-03-02,77.7,bench,45,7,t1,,7.5
2025-03-02,77.7,bench,40,11,t1_amrap,programmed 8+,7.5
2025-03-02,77.7,ohp,20,6,t2,,7.5
2025-03-02,77.7,ohp,25,5,t2,,7.5
2025-03-02,77.7,ohp,27.5,3,t2,,7.5
2025-03-02,77.7,ohp,27.5,5,t2,,7.5
2025-03-02,77.7,ohp,27.5,7,t2,,7.5
2025-03-02,77.7,ohp,27.5,4,t2,,7.5
2025-03-02,77.7,ohp,27.5,6,t2,,7.5
2025-03-02,77.7,ohp,27.5,9,t2,,7.5
2025-03-02,77.7,face_pull,15,15,accessory,,7.5
2025-03-02,77.7,face_pull,15,15,accessory,,7.5
2025-03-03,78.1,deadlift,75,5,t1,,8.7
2025-03-03,78.1,deadlift,85,3,t1,,8.7
2025-03-03,78.1,deadlift,95,3,t1_amrap,programmed 1+,8.7
2025-03-03,78.1,deadlift,90,3,t1,,8.7
2025-03-03,78.1,deadlift,85,3,t1,,8.7
2025-03-03,78.1,deadlift,80,3,t1,,8.7
2025-03-03,78.1,deadlift,75,3,t1,,8.7
2025-03-03,78.1,deadlift,70,3,t1,,8.7
2025-03-03,78.1,deadlift,65,8,t1_amrap,programmed 3+,8.7
2025-03-03,78.1,front_squat,20,6,t2,,8.7
2025-03-03,78.1,front_squat,25,5,t2,,8.7
2025-03-03,78.1,front_squat,30,3,t2,,8.7
2025-03-03,78.1,front_squat,30,5,t2,,8.7
2025-03-03,78.1,front_squat,30,7,t2,,8.7
2025-03-03,78.1,front_squat,30,4,t2,,8.7
2025-03-03,78.1,front_squat,30,6,t2,,8.7
2025-03-03,78.1,front_squat,30,8,t2,,8.7
2025-03-03,78.1,pendlay_row,40,10,accessory,,8.7
2025-03-03,78.1,pendlay_row,40,10,accessory,,8.7
2025-03-04,78.5,ohp,30,5,t1,,6.4
2025-03-04,78.5,ohp,35,3,t1,,6.4
2025-03-04,78.5,ohp,37.5,3,t1_amrap,programmed 1+,6.4
2025-03-04,78.5,ohp,37.5,3,t1,,6.4
2025-03-04,78.5,ohp,35,3,t1,,6.4
2025-03-04,78.5,ohp,32.5,3,t1,,6.4
2025-03-04,78.5,ohp,30,5,t1,,6.4
2025-03-04,78.5,ohp,27.5,5,t1,,6.4
2025-03-04,78.5,ohp,27.5,9,t1_amrap,programmed 5+,6.4
2025-03-04,78.5,incline_bench,20,6,t2,,6.4
2025-03-04,78.5,incline_bench,25,5,t2,,6.4
2025-03-04,78.5,incline_bench,30,3,t2,,6.4
2025-03-04,78.5,incline_bench,30,5,t2,,6.4
2025-03-04,78.5,incline_bench,30,7,t2,,6.4
2025-03-04,78.5,incline_bench,30,4,t2,,6.4
2025-03-04,78.5,incline_bench,30,6,t2,,6.4
2025-03-04,78.5,incline_bench,30,8,t2,,6.4
2025-03-04,78.5,face_pull,15,14,accessory,,6.4
2025-03-04,78.5,face_pull,15,14,accessory,,6.4
2025-03-04,78.5,pendlay_row,40,6,accessory,,6.4
2025-03-04,78.5,pendlay_row,40,6,accessory,,6.4
2025-03-05,77.9,squat,60,5,t1,,7.6
2025-03-05,77.9,squat,70,3,t1,,7.6
2025-03-05,77.9,squat,77.5,5,t1_amrap,programmed 1+,7.6
2025-03-05,77.9,squat,72.5,3,t1,,7.6
2025-03-05,77.9,squat,70,3,t1,,7.6
2025-03-05,77.9,squat,65,3,t1,,7.6
2025-03-05,77.9,squat,60,5,t1,,7.6
2025-03-05,77.9,squat,57.5,5,t1,,7.6
2025-03-05,77.9,squat,52.5,6,t1_amrap,programmed 5+,7.6
2025-03-05,77.9,sumo_deadlift,45,5,t2,,7.6
2025-03-05,77.9,sumo_deadlift,52.5,5,t2,,7.6
2025-03-05,77.9,sumo_deadlift,62.5,3,t2,,7.6
2025-03-05,77.9,sumo_deadlift,62.5,5,t2,,7.6
2025-03-05,77.9,sumo_deadlift,62.5,7,t2,,7.6
2025-03-05,77.9,sumo_deadlift,62.5,4,t2,,7.6
2025-03-05,77.9,sumo_deadlift,62.5,6,t2,,7.6
2025-03-05,77.9,sumo_deadlift,62.5,8,t2,,7.6
2025-03-05,77.9,pendlay_row,40,7,accessory,,7.6
2025-03-05,77.9,pendlay_row,40,7,accessory,,7.6
2025-03-06,77.4,bench,47.5,5,t1,,7
2025-03-06,77.4,bench,52.5,3,t1,,7
2025-03-06,77.4,bench,60,3,t1_amrap,programmed 1+,7
2025-03-06,77.4,bench,57.5,3,t1,,7
2025-03-06,77.4,bench,52.5,5,t1,,7
2025-03-06,77.4,bench,50,3,t1,,7
2025-03-06,77.4,bench,47.5,5,t1,,7
2025-03-06,77.4,bench,45,3,t1,,7
2025-03-06,77.4,bench,40,10,t1_amrap,programmed 5+,7
2025-03-06,77.4,cgbench,22.5,6,t2,,7
2025-03-06,77.4,cgbench,27.5,6,t2,,7
2025-03-06,77.4,cgbench,32.5,3,t2,,7
2025-03-06,77.4,cgbench,32.5,5,t2,,7
2025-03-06,77.4,cgbench,32.5,7,t2,,7
2025-03-06,77.4,cgbench,32.5,4,t2,,7
2025-03-06,77.4,cgbench,32.5,6,t2,,7
2025-03-06,77.4,cgbench,32.5,8,t2,,7
2025-03-06,77.4,face_pull,15,13,accessory,,7
2025-03-06,77.4,face_pull,15,13,accessory,,7
2025-03-06,77.4,pendlay_row,40,6,accessory,,7
2025-03-06,77.4,pendlay_row,40,6,accessory,,7
2025-03-07,78,deadlift,70,3,t1,,7
2025-03-07,78,deadlift,70,3,t1,,7
2025-03-07,78,deadlift,70,4,t1_amrap,programmed 3+,7
2025-03-07,78,deadlift,70,3,t1,,7
2025-03-07,78,deadlift,70,3,t1,,7
2025-03-07,78,deadlift,70,3,t1,,7
2025-03-07,78,deadlift,70,3,t1,,7
2025-03-07,78,deadlift,70,3,t1,,7
2025-03-07,78,deadlift,70,3,t1,,7
2025-03-07,78,front_squat,25,5,t2,,7
2025-03-07,78,front_squat,25,5,t2,,7
2025-03-07,78,front_squat,25,3,t2,,7
2025-03-07,78,front_squat,25,5,t2,,7
2025-03-07,78,front_squat,25,5,t2,,7
2025-03-07,78,front_squat,25,3,t2,,7
2025-03-07,78,front_squat,25,5,t2,,7
2025-03-07,78,front_squat,25,5,t2,,7
2025-03-07,78,pendlay_row,40,7,accessory,,7
2025-03-07,78,pendlay_row,40,7,accessory,,7
2025-03-08,78.7,bench,42.5,8,t1,,6.2
2025-03-08,78.7,bench,50,6,t1,,6.2
2025-03-08,78.7,bench,55,4,t1,,6.2
2025-03-08,78.7,bench,55,4,t1,,6.2
2025-03-08,78.7,bench,55,4,t1,,6.2
2025-03-08,78.7,bench,52.5,5,t1,,6.2
2025-03-08,78.7,bench,50,6,t1,,6.2
2025-03-08,78.7,bench,45,7,t1,,6.2
2025-03-08,78.7,bench,42.5,11,t1_amrap,programmed 8+,6.2
2025-03-08,78.7,ohp,22.5,6,t2,,6.2
2025-03-08,78.7,ohp,25,5,t2,,6.2
2025-03-08,78.7,ohp,30,3,t2,,6.2
2025-03-08,78.7,ohp,30,5,t2,,6.2
2025-03-08,78.7,ohp,30,7,t2,,6.2
2025-03-08,78.7,ohp,30,4,t2,,6.2
2025-03-08,78.7,ohp,30,6,t2,,6.2
2025-03-08,78.7,ohp,30,8,t2,,6.2
2025-03-08,78.7,face_pull,15,13,accessory,,6.2
2025-03-08,78.7,face_pull,15,13,accessory,,6.2
2025-03-09,77.9,deadlift,77.5,5,t1,,6.6
2025-03-09,77.9,deadlift,87.5,3,t1,,6.6
2025-03-09,77.9,deadlift,100,8,t1_amrap,programmed 1+,6.6
2025-03-09,77.9,deadlift,92.5,3,t1,,6.6
2025-03-09,77.9,deadlift,87.5,3,t1,,6.6
2025-03-09,77.9,deadlift,82.5,3,t1,,6.6
2025-03-09,77.9,deadlift,77.5,3,t1,,6.6
2025-03-09,77.9,deadlift,72.5,3,t1,,6.6
2025-03-09,77.9,deadlift,67.5,6,t1_amrap,programmed 3+,6.6
2025-03-09,77.9,front_squat,20,5,t2,,6.6
2025-03-09,77.9,front_squat,27.5,5,t2,,6.6
2025-03-09,77.9,front_squat,32.5,3,t2,,6.6
2025-03-09,77.9,front_squat,32.5,5,t2,,6.6
2025-03-09,77.9,front_squat,32.5,7,t2,,6.6
2025-03-09,77.9,front_squat,32.5,4,t2,,6.6
2025-03-09,77.9,front_squat,32.5,6,t2,,6.6
2025-03-09,77.9,front_squat,32.5,8,t2,,6.6
2025-03-09,77.9,pendlay_row,40,10,accessory,,6.6
2025-03-09,77.9,pendlay_row,40,10,accessory,,6.6
2025-03-10,77.9,ohp,32.5,5,t1,,6.2
2025-03-10,77.9,ohp,37.5,3,t1,,6.2
2025-03-10,77.9,ohp,40,2,t1_amrap,programmed 1+,6.2
2025-03-10,77.9,ohp,37.5,3,t1,,6.2
2025-03-10,77.9,ohp,37.5,3,t1,,6.2
2025-03-10,77.9,ohp,35,3,t1,,6.2
2025-03-10,77.9,ohp,32.5,5,t1,,6.2
2025-03-10,77.9,ohp,30,5,t1,,6.2
2025-03-10,77.9,ohp,27.5,8,t1_amrap,programmed 5+,6.2
2025-03-10,77.9,incline_bench,20,6,t2,,6.2
2025-03-10,77.9,incline_bench,25,5,t2,,6.2
2025-03-10,77.9,incline_bench,32.5,3,t2,,6.2
2025-03-10,77.9,incline_bench,32.5,5,t2,,6.2
2025-03-10,77.9,incline_bench,32.5,7,t2,,6.2
2025-03-10,77.9,incline_bench,32.5,3,t2,,6.2
2025-03-10,77.9,incline_bench,32.5,6,t2,,6.2
2025-03-10,77.9,incline_bench,32.5,8,t2,,6.2
2025-03-10,77.9,face_pull,15,16,accessory,,6.2
2025-03-10,77.9,face_pull,15,16,accessory,,6.2
2025-03-10,77.9,pendlay_row,40,9,accessory,,6.2
2025-03-10,77.9,pendlay_row,40,9,accessory,,6.2
2025-03-11,78.1,squat,65,5,t1,,7.5
2025-03-11,78.1,squat,72.5,3,t1,,7.5
2025-03-11,78.1,squat,82.5,3,t1_amrap,programmed 1+,7.5
2025-03-11,78.1,squat,77.5,3,t1,,7.5
2025-03-11,78.1,squat,72.5,3,t1,,7.5
2025-03-11,78.1,squat,70,3,t1,,7.5
2025-03-11,78.1,squat,65,5,t1,,7.5
2025-03-11,78.1,squat,60,5,t1,,7.5
2025-03-11,78.1,squat,55,8,t1_amrap,programmed 5+,7.5
2025-03-11,78.1,sumo_deadlift,47.5,5,t2,,7.5
2025-03-11,78.1,sumo_deadlift,55,5,t2,,7.5
2025-03-11,78.1,sumo_deadlift,65,3,t2,,7.5
2025-03-11,78.1,sumo_deadlift,65,5,t2,,7.5
2025-03-11,78.1,sumo_deadlift,65,7,t2,,7.5
2025-03-11,78.1,sumo_deadlift,65,4,t2,,7.5
2025-03-11,78.1,sumo_deadlift,65,6,t2,,7.5
2025-03-11,78.1,sumo_deadlift,65,8,t2,,7.5
2025-03-11,78.1,pendlay_row,40,7,accessory,,7.5
2025-03-11,78.1,pendlay_row,40,7,accessory,,7.5
2025-03-12,79.3,bench,50,5,t1,,7.1
2025-03-12,79.3,bench,55,3,t1,,7.1
2025-03-12,79.3,bench,62.5,4,t1_amrap,programmed 1+,7.1
2025-03-12,79.3,bench,60,3,t1,,7.1
2025-03-12,79.3,bench,55,5,t1,,7.1
2025-03-12,79.3,bench,52.5,3,t1,,7.1
2025-03-12,79.3,bench,50,5,t1,,7.1
2025-03-12,79.3,bench,45,3,t1,,7.1
2025-03-12,79.3,bench,42.5,9,t1_amrap,programmed 5+,7.1
2025-03-12,79.3,cgbench,22.5,6,t2,,7.1
2025-03-12,79.3,cgbench,27.5,5,t2,,7.1
2025-03-12,79.3,cgbench,32.5,3,t2,,7.1
2025-03-12,79.3,cgbench,32.5,4,t2,,7.1
2025-03-12,79.3,cgbench,32.5,7,t2,,7.1
2025-03-12,79.3,cgbench,32.5,4,t2,,7.1
2025-03-12,79.3,cgbench,32.5,6,t2,,7.1
2025-03-12,79.3,cgbench,32.5,8,t2,,7.1
2025-03-12,79.3,face_pull,15,16,accessory,,7.1
2025-03-12,79.3,face_pull,15,16,accessory,,7.1
2025-03-12,79.3,pendlay_row,40,6,accessory,,7.1
2025-03-12,79.3,pendlay_row,40,6,accessory,,7.1
2025-03-13,77.7,deadlift,72.5,3,t1,,6.3
2025-03-13,77.7,deadlift,72.5,3,t1,,6.3
2025-03-13,77.7,deadlift,72.5,5,t1_amrap,programmed 3+,6.3
2025-03-13,77.7,deadlift,72.5,3,t1,,6.3
2025-03-13,77.7,deadlift,72.5,3,t1,,6.3
2025-03-13,77.7,deadlift,72.5,3,t1,,6.3
2025-03-13,77.7,deadlift,72.5,3,t1,,6.3
2025-03-13,77.7,deadlift,72.5,3,t1,,6.3
2025-03-13,77.7,deadlift,72.5,3,t1,,6.3
2025-03-13,77.7,front_squat,27.5,5,t2,,6.3
2025-03-13,77.7,front_squat,27.5,5,t2,,6.3
2025-03-13,77.7,front_squat,27.5,3,t2,,6.3
2025-03-13,77.7,front_squat,27.5,5,t2,,6.3
2025-03-13,77.7,front_squat,27.5,5,t2,,6.3
2025-03-13,77.7,front_squat,27.5,3,t2,,6.3
2025-03-13,77.7,front_squat,27.5,5,t2,,6.3
2025-03-13,77.7,front_squat,27.5,5,t2,,6.3
2025-03-13,77.7,pendlay_row,40,8,accessory,,6.3
2025-03-13,77.7,pendlay_row,40,8,accessory,,6.3
2025-03-15,78.6,bench,45,8,t1,,6
2025-03-15,78.6,bench,50,6,t1,,6
2025-03-15,78.6,bench,57.5,4,t1,,6
2025-03-15,78.6,bench,57.5,4,t1,,6
2025-03-15,78.6,bench,57.5,4,t1,,6
2025-03-15,78.6,bench,55,5,t1,,6
2025-03-15,78.6,bench,50,6,t1,,6
2025-03-15,78.6,bench,47.5,7,t1,,6
2025-03-15,78.6,bench,45,9,t1_amrap,programmed 8+,6
2025-03-15,78.6,ohp,22.5,6,t2,,6
2025-03-15,78.6,ohp,27.5,5,t2,,6
2025-03-15,78.6,ohp,32.5,4,t2,,6
2025-03-15,78.6,ohp,32.5,5,t2,,6
2025-03-15,78.6,ohp,32.5,7,t2,,6
2025-03-15,78.6,ohp,32.5,4,t2,,6
2025-03-15,78.6,ohp,32.5,6,t2,,6
2025-03-15,78.6,ohp,32.5,8,t2,,6
2025-03-15,78.6,face_pull,15,15,accessory,,6
2025-03-15,78.6,face_pull,15,15,accessory,,6
2025-03-16,79,deadlift,82.5,5,t1,,8.6
2025-03-16,79,deadlift,92.5,3,t1,,8.6
2025-03-16,79,deadlift,102.5,4,t1_amrap,programmed 1+,8.6
2025-03-16,79,deadlift,97.5,3,t1,,8.6
2025-03-16,79,deadlift,92.5,3,t1,,8.6
2025-03-16,79,deadlift,87.5,3,t1,,8.6
2025-03-16,79,deadlift,82.5,3,t1,,8.6
2025-03-16,79,deadlift,77.5,3,t1,,8.6
2025-03-16,79,deadlift,70,6,t1_amrap,programmed 3+,8.6
2025-03-16,79,front_squat,20,5,t2,,8.6
2025-03-16,79,front_squat,27.5,5,t2,,8.6
2025-03-16,79,front_squat,32.5,3,t2,,8.6
2025-03-16,79,front_squat,32.5,5,t2,,8.6
2025-03-16,79,front_squat,32.5,7,t2,,8.6
2025-03-16,79,front_squat,32.5,4,t2,,8.6
2025-03-16,79,front_squat,32.5,6,t2,,8.6
2025-03-16,79,front_squat,32.5,8,t2,,8.6
2025-03-16,79,pendlay_row,40,10,accessory,,8.6
2025-03-16,79,pendlay_row,40,10,accessory,,8.6
2025-03-17,77.4,ohp,35,5,t1,,7.6
2025-03-17,77.4,ohp,37.5,3,t1,,7.6
2025-03-17,77.4,ohp,42.5,3,t1_amrap,programmed 1+,7.6
2025-03-17,77.4,ohp,40,3,t1,,7.6
2025-03-17,77.4,ohp,37.5,3,t1,,7.6
2025-03-17,77.4,ohp,37.5,3,t1,,7.6
2025-03-17,77.4,ohp,35,5,t1,,7.6
2025-03-17,77.4,ohp,32.5,5,t1,,7.6
2025-03-17,77.4,ohp,30,7,t1_amrap,programmed 5+,7.6
2025-03-17,77.4,incline_bench,22.5,6,t2,,7.6
2025-03-17,77.4,incline_bench,27.5,5,t2,,7.6
2025-03-17,77.4,incline_bench,32.5,3,t2,,7.6
2025-03-17,77.4,incline_bench,32.5,5,t2,,7.6
2025-03-17,77.4,incline_bench,32.5,7,t2,,7.6
2025-03-17,77.4,incline_bench,32.5,4,t2,,7.6
2025-03-17,77.4,incline_bench,32.5,6,t2,,7.6
2025-03-17,77.4,incline_bench,32.5,8,t2,,7.6
2025-03-17,77.4,face_pull,15,16,accessory,,7.6
2025-03-17,77.4,face_pull,15,16,accessory,,7.6
2025-03-17,77.4,pendlay_row,40,7,accessory,,7.6
2025-03-17,77.4,pendlay_row,40,7,accessory,,7.6
2025-03-18,77.9,squat,65,5,t1,,6.9
2025-03-18,77.9,squat,72.5,3,t1,,6.9
2025-03-18,77.9,squat,82.5,2,t1_amrap,programmed 1+,6.9
2025-03-18,77.9,squat,77.5,3,t1,,6.9
2025-03-18,77.9,squat,72.5,3,t1,,6.9
2025-03-18,77.9,squat,70,3,t1,,6.9
2025-03-18,77.9,squat,65,5,t1,,6.9
2025-03-18,77.9,squat,60,5,t1,,6.9
2025-03-18,77.9,squat,55,8,t1_amrap,programmed 5+,6.9
2025-03-18,77.9,sumo_deadlift,50,5,t2,,6.9
2025-03-18,77.9,sumo_deadlift,60,5,t2,,6.9
2025-03-18,77.9,sumo_deadlift,67.5,3,t2,,6.9
2025-03-18,77.9,sumo_deadlift,67.5,5,t2,,6.9
2025-03-18,77.9,sumo_deadlift,67.5,7,t2,,6.9
2025-03-18,77.9,sumo_deadlift,67.5,4,t2,,6.9
2025-03-18,77.9,sumo_deadlift,67.5,6,t2,,6.9
2025-03-18,77.9,sumo_deadlift,67.5,8,t2,,6.9
2025-03-18,77.9,pendlay_row,40,10,accessory,,6.9
2025-03-18,77.9,pendlay_row,40,10,accessory,,6.9
2025-03-19,78.1,bench,50,5,t1,,7.3
2025-03-19,78.1,bench,57.5,3,t1,,7.3
2025-03-19,78.1,bench,65,4,t1_amrap,programmed 1+,7.3
2025-03-19,78.1,bench,60,3,t1,,7.3
2025-03-19,78.1,bench,57.5,5,t1,,7.3
2025-03-19,78.1,bench,55,3,t1,,7.3
2025-03-19,78.1,bench,50,5,t1,,7.3
2025-03-19,78.1,bench,47.5,3,t1,,7.3
2025-03-19,78.1,bench,45,10,t1_amrap,programmed 5+,7.3
2025-03-19,78.1,cgbench,22.5,6,t2,,7.3
2025-03-19,78.1,cgbench,30,5,t2,,7.3
2025-03-19,78.1,cgbench,35,3,t2,,7.3
2025-03-19,78.1,cgbench,35,5,t2,,7.3
2025-03-19,78.1,cgbench,35,7,t2,,7.3
2025-03-19,78.1,cgbench,35,4,t2,,7.3
2025-03-19,78.1,cgbench,35,6,t2,,7.3
2025-03-19,78.1,cgbench,35,8,t2,,7.3
2025-03-19,78.1,face_pull,15,16,accessory,,7.3
2025-03-19,78.1,face_pull,15,16,accessory,,7.3
2025-03-19,78.1,pendlay_row,40,9,accessory,,7.3
2025-03-19,78.1,pendlay_row,40,9,accessory,,7.3
2025-03-20,78.8,deadlift,77.5,3,t1,,8.3
2025-03-20,78.8,deadlift,77.5,3,t1,,8.3
2025-03-20,78.8,deadlift,77.5,7,t1_amrap,programmed 3+,8.3
2025-03-20,78.8,deadlift,77.5,3,t1,,8.3
2025-03-20,78.8,deadlift,77.5,3,t1,,8.3
2025-03-20,78.8,deadlift,77.5,3,t1,,8.3
2025-03-20,78.8,deadlift,77.5,3,t1,,8.3
2025-03-20,78.8,deadlift,77.5,3,t1,,8.3
2025-03-20,78.8,deadlift,77.5,3,t1,,8.3
2025-03-20,78.8,front_squat,27.5,5,t2,,8.3
2025-03-20,78.8,front_squat,27.5,5,t2,,8.3
2025-03-20,78.8,front_squat,27.5,3,t2,,8.3
2025-03-20,78.8,front_squat,27.5,4,t2,,8.3
2025-03-20,78.8,front_squat,27.5,5,t2,,8.3
2025-03-20,78.8,front_squat,27.5,3,t2,,8.3
2025-03-20,78.8,front_squat,27.5,5,t2,,8.3
2025-03-20,78.8,front_squat,27.5,5,t2,,8.3
2025-03-20,78.8,pendlay_row,40,9,accessory,,8.3
2025-03-20,78.8,pendlay_row,40,9,accessory,,8.3
2025-03-21,78.3,bench,45,8,t1,,7
2025-03-21,78.3,bench,52.5,6,t1,,7
2025-03-21,78.3,bench,60,4,t1,,7
2025-03-21,78.3,bench,60,4,t1,,7
2025-03-21,78.3,bench,60,4,t1,,7
2025-03-21,78.3,bench,57.5,5,t1,,7
2025-03-21,78.3,bench,52.5,6,t1,,7
2025-03-21,78.3,bench,50,7,t1,,7
2025-03-21,78.3,bench,45,10,t1_amrap,programmed 8+,7
2025-03-21,78.3,ohp,25,6,t2,,7
2025-03-21,78.3,ohp,30,5,t2,,7
2025-03-21,78.3,ohp,32.5,3,t2,,7
2025-03-21,78.3,ohp,32.5,5,t2,,7
2025-03-21,78.3,ohp,32.5,7,t2,,7
2025-03-21,78.3,ohp,32.5,4,t2,,7
2025-03-21,78.3,ohp,32.5,6,t2,,7
2025-03-21,78.3,ohp,32.5,8,t2,,7
2025-03-21,78.3,face_pull,15,13,accessory,,7
2025-03-21,78.3,face_pull,15,13,accessory,,7
2025-03-22,79.4,deadlift,85,5,t1,,7.3
2025-03-22,79.4,deadlift,97.5,3,t1,,7.3
2025-03-22,79.4,deadlift,107.5,4,t1_amrap,programmed 1+,7.3
2025-03-22,79.4,deadlift,102.5,3,t1,,7.3
2025-03-22,79.4,deadlift,97.5,3,t1,,7.3
2025-03-22,79.4,deadlift,90,3,t1,,7.3
2025-03-22,79.4,deadlift,85,3,t1,,7.3
2025-03-22,79.4,deadlift,80,3,t1,,7.3
2025-03-22,79.4,deadlift,75,8,t1_amrap,programmed 3+,7.3
2025-03-22,79.4,front_squat,22.5,5,t2,,7.3
2025-03-22,79.4,front_squat,27.5,5,t2,,7.3
2025-03-22,79.4,front_squat,35,4,t2,,7.3
2025-03-22,79.4,front_squat,35,5,t2,,7.3
2025-03-22,79.4,front_squat,35,7,t2,,7.3
2025-03-22,79.4,front_squat,35,4,t2,,7.3
2025-03-22,79.4,front_squat,35,6,t2,,7.3
2025-03-22,79.4,front_squat,35,8,t2,,7.3
2025-03-22,79.4,pendlay_row,40,6,accessory,,7.3
2025-03-22,79.4,pendlay_row,40,6,accessory,,7.3
2025-03-23,78.4,ohp,35,5,t1,,7.8
2025-03-23,78.4,ohp,40,3,t1,,7.8
2025-03-23,78.4,ohp,45,3,t1_amrap,programmed 1+,7.8
2025-03-23,78.4,ohp,42.5,3,t1,,7.8
2025-03-23,78.4,ohp,40,3,t1,,7.8
2025-03-23,78.4,ohp,37.5,3,t1,,7.8
2025-03-23,78.4,ohp,35,5,t1,,7.8
2025-03-23,78.4,ohp,32.5,5,t1,,7.8
2025-03-23,78.4,ohp,30,6,t1_amrap,programmed 5+,7.8
2025-03-23,78.4,incline_bench,22.5,6,t2,,7.8
2025-03-23,78.4,incline_bench,27.5,5,t2,,7.8
2025-03-23,78.4,incline_bench,35,3,t2,,7.8
2025-03-23,78.4,incline_bench,35,5,t2,,7.8
2025-03-23,78.4,incline_bench,35,7,t2,,7.8
2025-03-23,78.4,incline_bench,35,4,t2,,7.8
2025-03-23,78.4,incline_bench,35,6,t2,,7.8
2025-03-23,78.4,incline_bench,35,8,t2,,7.8
2025-03-23,78.4,face_pull,15,16,accessory,,7.8
2025-03-23,78.4,face_pull,15,16,accessory,,7.8
2025-03-23,78.4,pendlay_row,40,8,accessory,,7.8
2025-03-23,78.4,pendlay_row,40,8,accessory,,7.8
2025-03-24,79,squat,67.5,5,t1,,7.2
2025-03-24,79,squat,77.5,3,t1,,7.2
2025-03-24,79,squat,87.5,9,t1_amrap,programmed 1+,7.2
2025-03-24,79,squat,82.5,3,t1,,7.2
2025-03-24,79,squat,77.5,3,t1,,7.2
2025-03-24,79,squat,72.5,3,t1,,7.2
2025-03-24,79,squat,67.5,5,t1,,7.2
2025-03-24,79,squat,62.5,5,t1,,7.2
2025-03-24,79,squat,60,7,t1_amrap,programmed 5+,7.2
2025-03-24,79,sumo_deadlift,52.5,4,t2,,7.2
2025-03-24,79,sumo_deadlift,62.5,5,t2,,7.2
2025-03-24,79,sumo_deadlift,72.5,3,t2,,7.2
2025-03-24,79,sumo_deadlift,72.5,5,t2,,7.2
2025-03-24,79,sumo_deadlift,72.5,7,t2,,7.2
2025-03-24,79,sumo_deadlift,72.5,4,t2,,7.2
2025-03-24,79,sumo_deadlift,72.5,6,t2,,7.2
2025-03-24,79,sumo_deadlift,72.5,8,t2,,7.2
2025-03-24,79,pendlay_row,40,8,accessory,,7.2
2025-03-24,79,pendlay_row,40,8,accessory,,7.2
2025-03-25,78.8,bench,52.5,5,t1,,8.2
2025-03-25,78.8,bench,60,3,t1,,8.2
2025-03-25,78.8,bench,67.5,2,t1_amrap,programmed 1+,8.2
2025-03-25,78.8,bench,62.5,3,t1,,8.2
2025-03-25,78.8,bench,60,5,t1,,8.2
2025-03-25,78.8,bench,57.5,3,t1,,8.2
2025-03-25,78.8,bench,52.5,5,t1,,8.2
2025-03-25,78.8,bench,50,3,t1,,8.2
2025-03-25,78.8,bench,45,8,t1_amrap,programmed 5+,8.2
2025-03-25,78.8,cgbench,25,6,t2,,8.2
2025-03-25,78.8,cgbench,30,5,t2,,8.2
2025-03-25,78.8,cgbench,35,3,t2,,8.2
2025-03-25,78.8,cgbench,35,5,t2,,8.2
